parameter,value,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error
taper_ratio,1.0,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
compute_restriction_K,0.0,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
compute_restriction_K,2500000.0,0.4415928929408938,0.20121494666197157,1.1826852917635209,0.8582607095666346,1.4760652326641683,0.0,56.37835015453504,45.54914016891047,10.829209985624573,94566.8014927176,94566.8014927176,120.0,115560.0,53.72642027106804,13.726420271068037,189.1336029854352,315.222671642392,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
compute_restriction_K,5000000.0,0.3607154871812024,0.1640530284210772,1.2827938140809234,0.9641528064804396,1.6570649853744797,0.0,56.750257507662525,45.171368653123636,11.578888854538889,108236.91584329367,108236.91584329367,120.0,115560.0,53.72642027106809,13.726420271068093,216.47383168658735,360.7897194776456,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,0.0,True,
compute_restriction_K,7500000.0,0.28997141493986317,0.13140468815436052,1.3655359656447204,1.0571985015975656,1.8161414557282494,0.0,57.093808751720644,44.87942432443168,12.214384427288962,121027.14786499689,121027.14786499689,120.0,115560.0,53.72642027106809,13.726420271068093,242.05429572999378,403.4238262166563,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,-0.05240998143475559,False,
compute_restriction_K,10000000.0,0.2269636809776298,0.10223909994099391,1.4356621814806014,1.1403324980730867,1.958295975670296,0.0,57.414541443734436,44.645086157317905,12.76945528641653,133070.47152804284,133070.47152804284,120.0,115560.0,53.72642027106804,13.726420271068037,266.1409430560857,443.5682384268095,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-0.15713453502645944,False,
compute_restriction_K,12500000.0,0.17008604997405902,0.07585590610612788,1.4962389399517402,1.2155540330877899,2.086937477254054,0.0,57.71642048893136,44.45161661186927,13.264803877062093,144467.86918904397,144467.86918904397,120.0,115560.0,53.72642027106804,13.726420271068037,288.93573837808793,481.5595639634799,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,-0.25624234077429536,False,
compute_restriction_K,15000000.0,0.11820270259539054,0.05175827924277072,1.5493564675709455,1.2842936111729866,2.204506187582195,0.0,58.00239211586205,44.28837812774174,13.714013988120314,155298.5625568411,155298.5625568411,120.0,115560.0,53.72642027106809,13.726420271068093,310.5971251136822,517.6618751894704,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,-0.350422283102966,False,
compute_restriction_K,17500000.0,0.07047717717650505,0.029594107499323948,1.5965006947942473,1.3476140486032722,2.3128157481074316,0.0,58.27471298574528,44.14824393477295,14.126469050972332,165626.28561557067,165626.28561557067,120.0,115560.0,53.72642027106809,13.726420271068093,331.25257123114136,552.0876187185689,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,-0.4402285705701797,False,
compute_restriction_K,20000000.0,0.026273560559910626,0.00927800469764362,1.6387639295591845,1.4063288734400838,2.4132548050617726,0.0,58.53515531516746,44.026236539323634,14.508918775843824,175503.3537926477,175503.3537926477,120.0,115560.0,53.72642027106804,13.726420271068037,351.0067075852954,585.0111793088256,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-0.5261161199360669,False,
switch_restriction_K,0.0,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,20000000.0,0.7132379420764792,0.3284512274691183,0.7772421188614227,0.4955713014419437,0.8535319773128204,0.0,55.19107266523969,47.4112187021874,7.77985396305229,87667.10150200568,87667.10150200568,120.0,115560.0,53.72642027106809,13.726420271068093,175.33420300401136,292.22367167335227,0.004082813812605295,0.038,0.038,1.775435938785744,0.005694450843896859,0.0,True,
switch_restriction_K,40000000.0,0.8159650476124182,0.37720232370847057,0.5909788495057916,0.35658977802057806,0.6145939512981509,0.0,54.772942749610706,48.50684854849544,6.266094201115266,92390.43623679427,92390.43623679427,120.0,115560.0,53.72642027106804,13.726420271068037,184.78087247358854,307.96812078931424,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,60000000.0,0.8856904967824101,0.4102808704106346,0.45282438385774615,0.2622982407154477,0.4525398885049703,0.0,54.50221624188879,49.454836969437906,5.047379272450883,95668.14511247445,95668.14511247445,120.0,115560.0,53.72642027106804,13.726420271068037,191.3362902249489,318.8938170415815,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,80000000.0,0.9371930456702806,0.4347087810498562,0.3439226975267699,0.1926739334797709,0.33289790055454926,0.0,54.30862744548017,50.302452186154596,4.006175259325573,98126.4816270879,98126.4816270879,120.0,115560.0,53.72642027106804,13.726420271068037,196.2529632541758,327.088272090293,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,100000000.0,0.9773339453356747,0.45374468090142733,0.2546337535601078,0.13842831390278248,0.23968199433621964,0.0,54.161345084394384,51.07608999790796,3.085255086486427,100064.45445105078,100064.45445105078,120.0,115560.0,53.72642027106809,13.726420271068093,200.12890890210159,333.54818150350263,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,120000000.0,1.009807582893508,0.46914260914377354,0.1793675291215345,0.09456687878272697,0.1642911016770345,0.0,54.044427515304506,51.792272228419165,2.2521552868853405,101646.3297227094,101646.3297227094,120.0,115560.0,53.72642027106804,13.726420271068037,203.2926594454188,338.821099075698,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,140000000.0,1.0368092228200778,0.4819445995834834,0.11459729208373633,0.05813802909916084,0.10161711761031866,0.0,53.94869230527581,52.46215488080588,1.4865374244699296,102971.2330202001,102971.2330202001,120.0,115560.0,53.72642027106804,13.726420271068037,205.9424660404002,343.237443400667,0.004082813812605295,0.038,0.038,1.7754359387857446,0.005694450843896859,0.0,True,
switch_restriction_K,160000000.0,1.0595513765689373,0.49272959103081687,0.05838313140927217,0.027582009661980014,0.04879487897652524,0.0,53.8690555254845,53.08881365129446,0.7802418741900397,104094.24047267505,104094.24047267505,120.0,115560.0,53.72642027106804,13.726420271068037,208.1884809453501,346.98080157558354,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
switch_restriction_K,180000000.0,1.0791846827396305,0.5020360548252989,0.015421082872218462,0.004471445222376551,0.010007963001624601,0.0,53.80106906261989,53.59063156135835,0.21043750126153782,105068.32471047108,105068.32471047108,120.0,115560.0,53.72642027106804,13.726420271068037,210.13664942094215,350.2277490349036,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
