design,scenario,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error,failed_constraints
C,switch_removed,1.0504661954829113,0.47871602634172766,0.014785029152047362,0.004271716837097501,0.009764294200624826,0.0,53.64777509701349,53.44827559081665,0.19949950619684387,107259.86040447628,107259.86040447628,120.0,114320.0,53.57937281631848,13.579372816318482,214.51972080895257,357.53286801492095,0.004082813812605294,0.038,0.038,1.7753071040648738,0.00566617651001455,0.0,True,,
C,pump_reduced,1.0787099020578437,0.5016047088491907,0.015993890974337198,0.004976824775222176,0.010090278684701125,0.0,56.73827994993684,56.473542723099,0.2647372268378376,71798.43385988874,71798.43385988874,98.95706728110466,115560.0,56.63943104215707,16.63943104215707,118.41604083584923,197.36006805974873,0.004082813812605295,0.038,0.038,1.4662072955242387,0.005694450843896859,-0.13039909497151067,False,,HX_capacity
C,pump_unavailable,1.0781484553897813,0.5009797730010891,0.017013887651354084,0.006147525387806297,0.010297657015505795,0.0,60.649217492690354,60.30174754040655,0.3474699522838023,47478.05884577776,47478.05884577776,80.24351169678336,115560.0,60.51029016304756,20.510290163047557,63.49676950552895,105.82794917588159,0.004082813812605295,0.038,0.038,1.1912149199333546,0.005694450843896859,-0.2863453915075216,False,,HX_capacity
C,warm_coolant,1.0803919206638848,0.5026305227926408,0.01536831476142318,0.004512227678843724,0.010276782721713281,0.0,58.81358660598954,58.603894369515274,0.20969223647426816,104318.40510775632,104318.40510775632,120.0,115560.0,58.74346650918699,13.743466509186987,208.63681021551264,347.7280170258544,0.004082813812605295,0.038,0.038,1.7754804634789108,0.005694450843896859,0.0,True,,
C,warm_facility,1.079668813879105,0.5022655335269879,0.015423452627669748,0.004416969139038677,0.010126220903923084,0.0,53.799401136422375,53.58904308881125,0.2103580476111233,105092.4025634684,105092.4025634684,120.0,115560.0,53.72642027106804,13.726420271068037,210.1848051269368,350.3080085448947,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-1.25,False,,"HX_capacity, HX_approach"
C,nominal102,1.07946541011275,0.5021862672233155,0.015368278253415888,0.004409232544707512,0.0100603083219447,0.0,52.18269354883398,51.997578574086674,0.18511497474730731,105127.3665383589,105127.3665383589,120.0,101999.99999999999,52.1181009259646,12.118100925964598,210.2547330767178,350.424555127863,0.004082813812605295,0.038,0.038,1.7740278351049308,0.005694450843896859,0.0,True,,
C,OEM115,1.0796603689047233,0.5022622411792721,0.015421167921852517,0.004416420252791752,0.010123485541885514,0.0,53.732647866493835,53.52333530909374,0.20931255740009647,105093.8349232597,105093.8349232597,120.0,115000.0,53.66001239086131,13.660012390861311,210.18766984651938,350.31278307753234,0.004082813812605295,0.038,0.038,1.7753777536155073,0.005694450843896859,0.0,True,,
D116,full,1.0846314220584137,0.5022002838129656,0.021276779902688694,0.006206876799744905,0.013695501534761855,0.0,54.3072568241663,54.007423002961275,0.2998338212050271,107046.34878961845,107046.34878961845,116.0,115560.0,54.19893224298369,14.198932242983688,206.9562743265957,344.9271238776595,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461516,0.0054545766446872325,0.0,True,,
D116,compute75,1.0843627568460081,0.5021093398055743,0.2889676933745818,0.1327215451941537,0.2272427041417616,0.0,54.22435543127892,50.51105861514293,3.713296816135994,107127.36537538885,107127.36537538885,116.0,89460.0,50.99627488620865,10.996274886208653,207.11290639241844,345.18817732069743,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.675934900235062,0.0054545766446872325,0.0,True,,
D116,compute50,1.0840913174695959,0.5020165869692236,0.6168862507240196,0.272062735399901,0.4524388664662023,0.0,54.217712243730546,47.011040907039785,7.206671336690761,107210.44096073751,107210.44096073751,116.0,63360.0,47.79113266265426,7.791132662654263,207.2735191907592,345.455865317932,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6744429971213253,0.0054545766446872325,0.0,True,,
