design,time_s,tray,liquid_W,electrical_W,connection,bore_mm,flow_LPM,solid_C
active,156.0,C10,1740.0,1740.0,1.0,3.6104087880833613,5.420485536569817,59.858281732988935
active,156.0,C11,1740.0,1740.0,1.0,3.6113183965332394,5.421062174110369,59.859073496948234
active,156.0,C12,1740.0,1740.0,1.0,3.6120376778056005,5.421515048429301,59.85970065193769
active,156.0,C13,1740.0,1740.0,1.0,3.6125900744542507,5.4218598897145505,59.86018331581536
active,156.0,C14,1740.0,1740.0,1.0,3.6129992818720864,5.422112379880016,59.860541895507595
active,156.0,C15,1740.0,1740.0,1.0,3.613289263541423,5.422288189946689,59.860797072494165
active,156.0,C16,1740.0,1740.0,1.0,3.6134842137935843,5.422402890922822,59.86096979090125
active,156.0,C17,1740.0,1740.0,1.0,3.6136087944662405,5.422472252920476,59.86108144548591
active,156.0,C18,1740.0,1740.0,1.0,3.613686979139136,5.422513278242522,59.8611526474478
active,158.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.013840982002044
active,158.0,C02,1740.0,1740.0,1.0,3.426168669765627,5.129628472925761,59.63159604666156
active,158.0,C03,1740.0,1740.0,1.0,3.4299746912231734,5.133113805893561,59.63479014549447
active,158.0,C04,1740.0,1740.0,1.0,3.4333919743558896,5.136223087805448,59.63766341237344
active,158.0,C05,1740.0,1740.0,1.0,3.4364402916462375,5.1389799704011905,59.640230555031565
active,158.0,C06,1740.0,1740.0,1.0,3.43913975236589,5.141407496817369,59.64250691996191
active,158.0,C07,1740.0,1740.0,1.0,3.4415107774702975,5.143528170486314,59.64450843598084
active,158.0,C08,1740.0,1740.0,1.0,3.4435740767048117,5.145364023295046,59.646251560632415
active,158.0,C09,1740.0,1740.0,1.0,3.445350628201447,5.14693668265009,59.64775322992583
active,158.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.238775217973877,68.86631816434841
active,158.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.5761745922607
active,158.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.2391521371965208,68.8636766305267
active,158.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2393312366131966,68.86242496117252
active,158.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.229636712420359,68.87348909831529
active,158.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2298045652245602,68.87231034721461
active,158.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2299673828610298,68.87116815571255
active,158.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2301252219288412,68.87006229087974
active,158.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.23027814041727,68.86899251062604
active,158.0,C10,1740.0,1740.0,1.0,3.458301372503029,5.158167389068781,59.65881914373271
active,158.0,C11,1740.0,1740.0,1.0,3.4591695025483844,5.158913321889922,59.659572125778055
active,158.0,C12,1740.0,1740.0,1.0,3.4598560293864726,5.159499089064989,59.660168696043655
active,158.0,C13,1740.0,1740.0,1.0,3.4603833135336597,5.159944862163234,59.66062795043316
active,158.0,C14,1740.0,1740.0,1.0,3.4607739600699357,5.160270839299826,59.66096926834783
active,158.0,C15,1740.0,1740.0,1.0,3.461050832725749,5.160497281730929,59.661212297303564
active,158.0,C16,1740.0,1740.0,1.0,3.4612370191917172,5.160644428382498,59.66137694440779
active,158.0,C17,1740.0,1740.0,1.0,3.4613560548335442,5.1607328186693,59.66148354958789
active,158.0,C18,1740.0,1740.0,1.0,3.4614307947643472,5.160783874900187,59.66155164714688
active,160.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.01384093436191
active,160.0,C02,1740.0,1740.0,1.0,3.2849778366695683,4.859542765982399,59.44778389796825
active,160.0,C03,1740.0,1740.0,1.0,3.28859405271383,4.863555963999195,59.45077821076738
active,160.0,C04,1740.0,1740.0,1.0,3.2918412271109796,4.867140007977273,59.45347270172187
active,160.0,C05,1740.0,1740.0,1.0,3.2947380601138945,4.870320580843243,59.45588088122691
active,160.0,C06,1740.0,1740.0,1.0,3.2973035862230797,4.873122971958655,59.45801690654945
active,160.0,C07,1740.0,1740.0,1.0,3.2995571489177387,4.8755721239133445,59.45989552399145
active,160.0,C08,1740.0,1740.0,1.0,3.301518377527639,4.877692679954786,59.46153201390023
active,160.0,C09,1740.0,1740.0,1.0,3.3032071665206493,4.879509031763609,59.462942139011766
active,160.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.2389302025747966,68.87129111306704
active,160.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.55634736344464
active,160.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.2393577236456934,68.86863798728598
active,160.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2395616314809563,68.867381095178
active,160.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.2298894182377362,68.88022681361223
active,160.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2300808711816702,68.87904323326859
active,160.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2302667789149169,68.87789644853933
active,160.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2304471950064595,68.8767862167463
active,160.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2306221744851262,68.87571228596902
active,160.0,C10,1740.0,1740.0,1.0,3.3155216984514073,4.892594871991916,59.47334644702645
active,160.0,C11,1740.0,1740.0,1.0,3.316347290508535,4.893471366147434,59.47405507577195
active,160.0,C12,1740.0,1740.0,1.0,3.3170002392023155,4.894159630634329,59.47461669345072
active,160.0,C13,1740.0,1740.0,1.0,3.3175017948475847,4.894683239046746,59.47504922606226
active,160.0,C14,1740.0,1740.0,1.0,3.317873443214233,4.895065859226459,59.47537087557854
active,160.0,C15,1740.0,1740.0,1.0,3.3181369185205316,4.895331287391651,59.47560010359266
active,160.0,C16,1740.0,1740.0,1.0,3.318314171223659,4.895503366005762,59.475755626049846
active,160.0,C17,1740.0,1740.0,1.0,3.318427578822105,4.8956071381920285,59.47585655519269
active,160.0,C18,1740.0,1740.0,1.0,3.318498850353074,4.895665747551136,59.47592123255378
active,162.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.013840901694394
active,162.0,C02,1740.0,1740.0,1.0,3.152971129726519,4.59196774880111,59.278254181810276
active,162.0,C03,1740.0,1740.0,1.0,3.156395429892201,4.596341243910406,59.28102927728309
active,162.0,C04,1740.0,1740.0,1.0,3.1594705906770946,4.600250208542633,59.28352757324073
active,162.0,C05,1740.0,1740.0,1.0,3.162214239351281,4.6037214155370965,59.28576128979414
active,162.0,C06,1740.0,1740.0,1.0,3.164644332307614,4.606781444299307,59.28774329743816
active,162.0,C07,1740.0,1740.0,1.0,3.1667791298817654,4.609456707230359,59.2894870582604
active,162.0,C08,1740.0,1740.0,1.0,3.168637173234134,4.61177347786074,59.291006569973035
active,162.0,C09,1740.0,1740.0,1.0,3.1702372635623326,4.613757920486278,59.2923163132453
active,162.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.2386268889975929,68.87639408367421
active,162.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.53955253432987
active,162.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.2391022233953581,68.87371974107582
active,162.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2393295498151558,68.87245289307239
active,162.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.229681878047548,68.887078247753
active,162.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.229895560613896,68.88588528634028
active,162.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.230103192358809,68.88472944818128
active,162.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2303048238792786,68.88361048154576
active,162.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2305005072958355,68.88252812537077
active,162.0,C10,1740.0,1740.0,1.0,3.1819075669940564,4.6281365626519015,59.301992355636024
active,162.0,C11,1740.0,1740.0,1.0,3.1826899867965617,4.629104669657354,59.302651974789164
active,162.0,C12,1740.0,1740.0,1.0,3.1833088683645667,4.629864859388097,59.30317499070645
active,162.0,C13,1740.0,1740.0,1.0,3.1837843347343444,4.630443069316498,59.30357803612998
active,162.0,C14,1740.0,1740.0,1.0,3.1841367346318563,4.630865388971732,59.30387801040863
active,162.0,C15,1740.0,1740.0,1.0,3.184386654437472,4.631158090520999,59.30409206212892
active,162.0,C16,1740.0,1740.0,1.0,3.1845548883755757,4.631347549966148,59.30423758697675
active,162.0,C17,1740.0,1740.0,1.0,3.1846626238339355,4.631461931301994,59.304332319205315
active,162.0,C18,1740.0,1740.0,1.0,3.184730433176924,4.6315256259125,59.304393322990315
active,164.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.01384087929381
active,164.0,C02,1740.0,1740.0,1.0,3.0299364949407552,4.33097124015935,59.12299476722489
active,164.0,C03,1740.0,1740.0,1.0,3.03316842054121,4.335549479222173,59.12553536145397
active,164.0,C04,1740.0,1740.0,1.0,3.036071144825531,4.339644065181721,59.12782374542944
active,164.0,C05,1740.0,1740.0,1.0,3.0386612290933197,4.343282050096219,59.129870781552945
